Loot Monitor | Starting Chest Checking
20 30 | C: 0x133123 Ref: 0x488DD8
1 31 | C: 0x0a2d1d Ref: 0x488DD8
29 18 | C: 0x76735b Ref: 16770251
30 18 | C: 0x77715a Ref: 16770251
31 18 | C: 0x90816a Ref: 16770251
32 18 | C: 0x847c62 Ref: 16770251
19 31 | C: 0x213f2f Ref: 0x488DD8
20 31 | C: 0x163426 Ref: 0x488DD8
1 32 | C: 0x0e3021 Ref: 0x488DD8
2 32 | C: 0x062416 Ref: 0x488DD8
33 18 | C: 0x645e4c Ref: 16770251
34 18 | C: 0x615b4c Ref: 16770251
1 19 | C: 0x7c7860 Ref: 16770251
2 19 | C: 0x7c7660 Ref: 16770251
3 32 | C: 0x06140c Ref: 0x488DD8
4 32 | C: 0x060f0a Ref: 0x488DD8
5 32 | C: 0x06160e Ref: 0x488DD8
6 32 | C: 0x081913 Ref: 0x488DD8
7 32 | C: 0x061c0f Ref: 0x488DD8
13 19 | C: 0x5b5b5b Ref: 16770251
14 19 | C: 0x5b5b5b Ref: 16770251
15 19 | C: 0x5b5b5b Ref: 16770251
16 19 | C: 0x5b5b5b Ref: 16770251
8 32 | C: 0x062f17 Ref: 0x488DD8
9 32 | C: 0x063419 Ref: 0x488DD8
10 32 | C: 0x063017 Ref: 0x488DD8
11 32 | C: 0x062c1a Ref: 0x488DD8
17 19 | C: 0x5b5b5b Ref: 16770251
18 19 | C: 0xa87a6a Ref: 16770251
19 19 | C: 0xdb9074 Ref: 16770251
20 19 | C: 0xdb9074 Ref: 16770251
12 32 | C: 0x08271c Ref: 0x488DD8
13 32 | C: 0x0a2b1d Ref: 0x488DD8
14 32 | C: 0x0c2b1d Ref: 0x488DD8
15 32 | C: 0x132f21 Ref: 0x488DD8
16 32 | C: 0x1d3c2b Ref: 0x488DD8
5 20 | C: 0x5f5b4a Ref: 16770251
6 20 | C: 0x605c4a Ref: 16770251
7 20 | C: 0x79755d Ref: 16770251
8 20 | C: 0x7e765e Ref: 16770251
17 32 | C: 0x264532 Ref: 0x488DD8
18 32 | C: 0x2a4834 Ref: 0x488DD8
19 32 | C: 0x203f2d Ref: 0x488DD8
20 32 | C: 0x173827 Ref: 0x488DD8
9 20 | C: 0x7e7960 Ref: 16770251
10 20 | C: 0x7f7760 Ref: 16770251
11 20 | C: 0x5b5b5b Ref: 16770251
12 20 | C: 0x5b5b5b Ref: 16770251
13 20 | C: 0x5b5b5b Ref: 16770251
1 34 | C: 0x08321f Ref: 0x488DD8
2 34 | C: 0x062413 Ref: 0x488DD8
3 34 | C: 0x06170a Ref: 0x488DD8
4 34 | C: 0x061d0e Ref: 0x488DD8
14 20 | C: 0x5b5b5b Ref: 16770251
15 20 | C: 0x5b5b5b Ref: 16770251
16 20 | C: 0x5b5b5b Ref: 16770251
17 20 | C: 0x766660 Ref: 16770251
17 34 | C: 0x234230 Ref: 0x488DD8
18 34 | C: 0x203e2c Ref: 0x488DD8
19 34 | C: 0x0e3621 Ref: 0x488DD8
20 34 | C: 0x06351a Ref: 0x488DD8
25 20 | C: 0x5b5b5b Ref: 16770251
26 20 | C: 0x5b5b5b Ref: 16770251
27 20 | C: 0x5b5b5b Ref: 16770251
28 20 | C: 0x65635b Ref: 16770251
1 35 | C: 0x08321c Ref: 0x488DD8
2 35 | C: 0x033617 Ref: 0x488DD8
3 35 | C: 0x031108 Ref: 0x488DD8
4 35 | C: 0x030e08 Ref: 0x488DD8
5 35 | C: 0x030f08 Ref: 0x488DD8
24 21 | C: 0x5b5b5b Ref: 16770251
25 21 | C: 0x5b5b5b Ref: 16770251
26 21 | C: 0x5b5b5b Ref: 16770251
27 21 | C: 0x5b5b5b Ref: 16770251
6 35 | C: 0x06160c Ref: 0x488DD8
7 35 | C: 0x0a231a Ref: 0x488DD8
8 35 | C: 0x0e2c21 Ref: 0x488DD8
9 35 | C: 0x0c2f21 Ref: 0x488DD8
28 21 | C: 0x6a675c Ref: 16770251
29 21 | C: 0x7f7960 Ref: 16770251
30 21 | C: 0x897f66 Ref: 16770251
31 21 | C: 0x7c765f Ref: 16770251
10 35 | C: 0x0e3424 Ref: 0x488DD8
11 35 | C: 0x0f3427 Ref: 0x488DD8
12 35 | C: 0x193a2c Ref: 0x488DD8
13 35 | C: 0x2a4835 Ref: 0x488DD8
14 35 | C: 0x34533c Ref: 0x488DD8
32 21 | C: 0x6e6b54 Ref: 16770251
33 21 | C: 0x635d4c Ref: 16770251
34 21 | C: 0x615d4c Ref: 16770251
1 22 | C: 0x807961 Ref: 16770251
15 35 | C: 0x213f2f Ref: 0x488DD8
16 35 | C: 0x112f21 Ref: 0x488DD8
